0	9.0
1	9.0
2	9.0
3	9.75
4	10.5
5	10.5
6	11.25
7	12.0
8	12.75
9	14.25
10	16.5
11	20.25
12	23.25
13	24.0
14	23.25
15	22.5
16	23.25
17	24.0
18	24.0
19	24.75
20	26.25
21	27.0
22	27.0
23	27.75
24	29.25
25	30.0
26	30.0
27	30.75
28	31.5
29	31.5
30	32.25
31	33.0
32	33.0
33	33.0
34	33.75
35	35.25
36	36.0
37	36.75
38	37.5
39	36.75
40	36.0
41	36.0
42	36.0
43	36.0
44	35.25
45	34.5
46	35.25
47	36.0
48	36.0
49	36.0
50	36.0
51	36.0
52	36.75
53	38.25
54	39.0
55	39.0
56	39.0
57	39.0
58	38.25
59	37.5
60	37.5
61	36.75
62	36.0
63	36.75
64	38.25
65	38.25
66	36.75
67	36.0
68	36.0
69	35.25
70	35.25
71	37.5
72	39.0
73	39.0
74	39.0
75	39.0
76	39.0
77	39.0
78	39.0
79	39.0
80	39.0
81	39.0
82	39.0
83	39.0
84	39.75
85	40.5
86	39.75
87	39.0
88	39.0
89	38.25
90	37.5
91	38.25
92	39.75
93	40.5
94	39.75
95	39.75
96	41.25
97	42.0
98	41.25
99	40.5
100	41.25
101	42.75
102	42.75
103	41.25
104	40.5
105	40.5
106	41.25
107	41.25
108	39.75
109	39.0
110	39.0
111	39.0
112	39.0
113	39.0
114	39.0
115	39.0
116	39.0
117	39.0
118	39.75
119	41.25
120	42.0
121	42.0
122	42.0
123	41.25
124	39.75
125	39.75
126	41.25
127	42.0
128	41.25
129	39.75
130	39.0
131	39.0
132	39.0
133	39.0
134	39.0
135	39.0
136	39.0
137	39.75
138	41.25
139	42.0
140	42.0
141	42.0
142	42.0
143	42.0
144	42.0
145	42.0
146	42.0
147	42.0
148	42.0
149	41.25
150	39.75
151	39.0
152	39.75
153	40.5
154	40.5
155	40.5
156	39.75
157	39.0
158	39.0
159	39.0
160	39.0
161	39.75
162	41.25
163	42.0
164	42.0
165	42.0
166	42.0
167	42.0
168	41.25
169	39.75
170	39.75
171	40.5
172	39.75
173	39.75
174	40.5
175	39.75
176	39.0
177	39.0
178	39.0
179	39.0
180	39.0
181	39.0
182	39.0
183	39.75
184	41.25
185	42.75
186	43.5
187	42.75
188	42.0
189	42.0
190	42.0
191	42.0
192	42.0
193	42.0
194	42.0
195	41.25
196	39.75
197	39.0
198	39.0
199	39.0
200	39.0
201	39.0
202	39.0
203	39.0
204	39.75
205	41.25
206	42.0
207	42.0
208	42.0
209	42.0
210	42.0
211	42.0
212	42.0
